publishedAt,title,description,source,full_text,label,score,final_score,Driver
2026-03-19T19:14:07Z,Aston Martin make approach for Audi boss Wheatley,Audi team principal Jonathan Wheatley is wanted by Aston Martin to lead their troubled Formula 1 team.,"{'id': None, 'name': 'BBC News'}",Aston Martin make approach for Audi boss Wheatley Audi team principal Jonathan Wheatley is wanted by Aston Martin to lead their troubled Formula 1 team.,POSITIVE,0.5208659768104553,0.5208659768104553,General / Other
2026-04-08T16:29:49Z,"The good, the bad and the ugly of F1's new 2026 regulations","F1's new-for-2026 regulations have come in for considerable criticism, but there have been positives, too. ESPN weighs up the good and the bad.","{'id': 'espn', 'name': 'ESPN'}","The good, the bad and the ugly of F1's new 2026 regulations F1's new-for-2026 regulations have come in for considerable criticism, but there have been positives, too. ESPN weighs up the good and the bad.",POSITIVE,0.6615952253341675,0.6615952253341675,General / Other
2026-04-16T19:29:29Z,He Thought He Was Renting a Ferrari 812—Then Police Pulled Him Over and Took the $400K Supercar Away,"It sounds like the kind of story you’d expect to end with a speeding ticket or maybe a parking violation. Instead, it ended with a Ferrari disappearing into ...","{'id': None, 'name': 'Yahoo Entertainment'}","He Thought He Was Renting a Ferrari 812—Then Police Pulled Him Over and Took the $400K Supercar Away It sounds like the kind of story you’d expect to end with a speeding ticket or maybe a parking violation. Instead, it ended with a Ferrari disappearing into ...",NEGATIVE,0.999444305896759,-0.999444305896759,General / Other
2026-04-09T15:35:00Z,"A Man Was Renting a Ferrari 812 Superfast for Months, Then Police Seized It as Stolen Property","The renter was paying over $2000 a month for the car, but the rental agency was allegedly not sending any payments to the owner.","{'id': None, 'name': 'RoadandTrack.com'}","A Man Was Renting a Ferrari 812 Superfast for Months, Then Police Seized It as Stolen Property The renter was paying over $2000 a month for the car, but the rental agency was allegedly not sending any payments to the owner.",NEGATIVE,0.9981372356414795,-0.9981372356414795,General / Other
2026-03-23T23:10:30Z,The Hisense U7SG is a great midrange TV you shouldn’t buy yet,"With all of the focus on RGB LED technology, it seemed like more affordable mini-LED TVs had been shooed to the side. But with the Hisense U7SG, we're getting our first great midrange general-use TV of 2026. It gets bright, comes in a wide range of sizes, sup…","{'id': 'the-verge', 'name': 'The Verge'}","The Hisense U7SG is a great midrange TV you shouldn’t buy yet With all of the focus on RGB LED technology, it seemed like more affordable mini-LED TVs had been shooed to the side. But with the Hisense U7SG, we're getting our first great midrange general-use TV of 2026. It gets bright, comes in a wide range of sizes, sup…",POSITIVE,0.9899505376815796,0.9899505376815796,General / Other
2026-04-02T23:00:00Z,2004 Ferrari Enzo,"Enzo Ferrari rejected an $18 million buyout offer from Ford in 1963, never flew in an airplane, and ran his empire from a small town in northern Italy until he died at 90. The car bearing his name followed fourteen...","{'id': None, 'name': 'Uncrate.com'}","2004 Ferrari Enzo Enzo Ferrari rejected an $18 million buyout offer from Ford in 1963, never flew in an airplane, and ran his empire from a small town in northern Italy until he died at 90. The car bearing his name followed fourteen...",NEGATIVE,0.8320435881614685,-0.8320435881614685,General / Other
2026-04-08T17:00:00Z,1978 Ferrari 308 GTS,"Most 308 GTSs are red. This one is silver, with blue leather inside. A lucky car for at least one person, it was once won in a Grand Rapids Public Museum raffle before eventually reaching California with just 15,000 miles...","{'id': None, 'name': 'Uncrate.com'}","1978 Ferrari 308 GTS Most 308 GTSs are red. This one is silver, with blue leather inside. A lucky car for at least one person, it was once won in a Grand Rapids Public Museum raffle before eventually reaching California with just 15,000 miles...",POSITIVE,0.7061642408370972,0.7061642408370972,General / Other
2026-03-29T10:00:00Z,The Deceptively Tricky Art of Designing a Steering Wheel,Veteran designers in the auto industry—and Jony Ive—tell us how hard it is to make a functional yet beautiful steering wheel.,"{'id': 'wired', 'name': 'Wired'}",The Deceptively Tricky Art of Designing a Steering Wheel Veteran designers in the auto industry—and Jony Ive—tell us how hard it is to make a functional yet beautiful steering wheel.,NEGATIVE,0.9068787693977356,-0.9068787693977356,General / Other
2026-04-03T08:22:04Z,"Where Leclerc thinks Ferrari can achieve ""huge gains"" on F1 2026 car","Charles Leclerc believes “huge gains” are within reach in all compartments of Ferrari’s 2026 Formula 1 car – including its power unit, chassis, aerodynamics and tyre management.Ferrari has emerged as Mercedes’ main challenger so far this season, but failed to…","{'id': None, 'name': 'autosport.com'}","Where Leclerc thinks Ferrari can achieve ""huge gains"" on F1 2026 car Charles Leclerc believes “huge gains” are within reach in all compartments of Ferrari’s 2026 Formula 1 car – including its power unit, chassis, aerodynamics and tyre management.Ferrari has emerged as Mercedes’ main challenger so far this season, but failed to…",NEGATIVE,0.9566075205802917,-0.9566075205802917,Leclerc
2026-04-14T13:05:18Z,Will Iraola's departure speed up the managerial merry-go-round?,"Andoni Iraola's decision to leave Bournemouth could make it a frantic summer in the Premier League's managerial market, says chief football writer Phil McNulty.","{'id': None, 'name': 'BBC News'}","Will Iraola's departure speed up the managerial merry-go-round? Andoni Iraola's decision to leave Bournemouth could make it a frantic summer in the Premier League's managerial market, says chief football writer Phil McNulty.",NEGATIVE,0.9958446621894836,-0.9958446621894836,General / Other
2026-03-25T18:22:47Z,1979 Ferrari 308 GTS from Magnum P.I.,"Producers originally wanted a Porsche 928 for Magnum P.I., but the automaker refused to allow modifications needed for aerial shots, handing Ferrari an opportunity that would define the 308's cultural legacy for decades. The 1979 GTS that appeared in the...","{'id': None, 'name': 'Uncrate.com'}","1979 Ferrari 308 GTS from Magnum P.I. Producers originally wanted a Porsche 928 for Magnum P.I., but the automaker refused to allow modifications needed for aerial shots, handing Ferrari an opportunity that would define the 308's cultural legacy for decades. The 1979 GTS that appeared in the...",POSITIVE,0.9992415904998779,0.9992415904998779,General / Other
2026-04-16T22:55:22Z,1961 Ferrari 250 GT SWB California Spider,"When Ferris Bueller convinced Cameron to take his father's Ferrari 250 GT California Spider out for a day across Chicago in 1986, he called it ""so choice."" Sixty-five years later, the market agrees. Among the most celebrated road cars ever...","{'id': None, 'name': 'Uncrate.com'}","1961 Ferrari 250 GT SWB California Spider When Ferris Bueller convinced Cameron to take his father's Ferrari 250 GT California Spider out for a day across Chicago in 1986, he called it ""so choice."" Sixty-five years later, the market agrees. Among the most celebrated road cars ever...",POSITIVE,0.9993507266044617,0.9993507266044617,General / Other
2026-04-06T09:35:31Z,The most encouraging element from Leclerc's Japanese GP podium,Ferrari Formula 1 team boss Fred Vasseur reckons the Scuderia is heading into the April break with a big morale boost after beating one of the dominant Mercedes cars in Japan.Kimi Antonelli and George Russell had swept the first two races in Australia and Chi…,"{'id': None, 'name': 'autosport.com'}",The most encouraging element from Leclerc's Japanese GP podium Ferrari Formula 1 team boss Fred Vasseur reckons the Scuderia is heading into the April break with a big morale boost after beating one of the dominant Mercedes cars in Japan.Kimi Antonelli and George Russell had swept the first two races in Australia and Chi…,POSITIVE,0.9994946718215942,0.9994946718215942,Leclerc
